Symbol,Company_name,Volumne,Turnover_value,Trades,Clean_price_avg_%,Clean_price_open_%,Clean_price_high_%,Clean_price_low_%,Clean_price_close_%,Change_%,ID,Group,Date
IMP26E,IMPACT DEVELOPER & CONTRACTOR 2026 EUR,48,122967.62,8,102.8,102.0,103.14,102.0,103.14,1.02,CB,1,2023-01-01
PBK28E,Patria Bank Obligatiuni 2028 EUR,5,13147.74,1,104.1,104.1,104.1,104.1,104.1,0.34,CB,1,2023-01-01
BRK26,SSIF BRK FINANCIAL GROUP - Ob. 2026,95,9552.4,6,98.9,99.28,99.28,98.81,98.81,-0.47,CB,1,2023-01-01
R2210A,MINISTERUL FINANTELOR,12,1206.24,3,99.42,99.4399,99.4399,99.4,99.4,0.71,IB,1,2023-01-01
R2212A,0,103,10298.97,2,99.4,99.4,99.4,99.4,99.4,0.0,IB,1,2023-01-01
R2403A,0,100,9784.6,2,95.126,95.15,95.15,95.11,95.11,0.01,IB,1,2023-01-01
R2410A,0,1903,181843.07,31,94.2854,95.89,95.89,94.0101,94.25,-1.26,IB,1,2023-01-01
R2412A,0,5,508.4,1,101.0,101.0,101.0,101.0,101.0,0.0,IB,1,2023-01-01
R2603AE,0,1510,733353.97,16,96.8294,97.0002,97.25,96.8,96.8,-0.82,IB,1,2023-01-01
R2203A,MINISTERUL FINANTELOR - 2022,202,20681.8,3,99.8851,99.88,99.9,99.88,99.9,0.0,IB,1,2023-01-01
R2307A,MINISTERUL FINANTELOR OBLIGATIUNI 2023,15,1492.35,1,97.6499,97.6499,97.6499,97.6499,97.6499,0.15,IB,1,2023-01-01
R2208A,MINISTERUL FINANTELOR PUBLICE,2920,295594.84,22,99.2708,99.78,99.78,99.26,99.27,-0.34,IB,1,2023-01-01
R2312A,0,955,94315.8,2,98.05,98.05,98.05,98.05,98.05,-0.15,IB,1,2023-01-01
R2408A,0,35,3541.65,1,98.98,98.98,98.98,98.98,98.98,0.48,IB,1,2023-01-01
R2508AE,0,277,138353.19,2,100.0,100.0,100.0,100.0,100.0,0.44,IB,1,2023-01-01
R2512AE,0,9529,4691133.68,10,99.2002,99.22,99.22,99.2,99.2,-0.1,IB,1,2023-01-01
BRK26,SSIF BRK FINANCIAL GROUP - Ob. 2026,27,2686.83,4,98.27,98.9,98.9,98.0,98.0,0.0,CB,2,2023-01-02
