Symbol,Company_name,Face_value,Close ,Change_%,Open,High,Low,Avg_price,Volume,Turnover,No_of_trades,52_High,52_Min,Date
ALR,ALRO S.A.,0.5,2.0,-0.99,2.03,2.03,2.0,2.0062,39029.0,78303.02,35,3.28,1.8,2023-01-01
ATB,ANTIBIOTICE S.A.,0.1,0.588,-0.68,0.592,0.592,0.584,0.5861,6315.0,3701.652,11,0.61,0.496,2023-01-01
AQ,AQUILA PART PROD COM,0.15,5.38,0.0,5.38,5.4,5.34,5.3571,12244.0,65592.76,31,5.6,5.2,2023-01-01
TLV,BANCA TRANSILVANIA S.A.,1.0,2.69,0.0,2.695,2.705,2.665,2.6942,1444366.0,3891507.03,405,3.055,2.145,2023-01-01
BIO,BIOFARM S.A.,0.1,0.812,-0.25,0.814,0.814,0.8,0.808,24565.0,19850.25,24,0.842,0.468,2023-01-01
BRD,BRD - GROUPE SOCIETE GENERALE S.A.,1.0,20.7,1.47,20.4,20.9,20.35,20.6072,240576.0,4957606.55,459,20.7,14.0,2023-01-01
BVB,BURSA DE VALORI BUCURESTI SA,10.0,25.1,0.0,25.2,25.2,25.0,25.059,1230.0,30822.6,17,26.8,24.1,2023-01-01
TEL,C.N.T.E.E. TRANSELECTRICA,10.0,21.0,-0.47,21.3,21.3,21.0,21.1821,3351.0,70981.3,48,29.3,20.7,2023-01-01
COTE,CONPET SA,3.3,80.6,0.75,80.8,80.8,80.2,80.609,288.0,23215.4,19,98.0,76.8,2023-01-01
ELMA,ELECTROMAGNETICA SA,0.1,0.106,-1.85,0.106,0.106,0.106,0.106,222254.0,23558.924,6,0.154,0.1,2023-01-01
IMP,IMPACT DEVELOPER & CONTRACTOR S.A.,0.25,0.72,-0.69,0.73,0.73,0.7,0.7027,108950.0,76565.73,7,3.18,0.5,2023-01-01
M,MedLife S.A.,0.25,23.0,-1.29,23.4,23.5,22.8,22.987,51103.0,1174707.9,270,25.5,9.28,2023-01-01
SNP,OMV PETROM S.A.,0.1,0.477,-1.75,0.491,0.4945,0.476,0.4834,29076985.0,14056732.8175,1166,0.51,0.3695,2023-01-01
ONE,ONE UNITED PROPERTIES,0.2,1.38,-1.43,1.402,1.408,1.37,1.3873,1555425.0,2157924.334,235,2.615,1.22,2023-01-01
PBK,PATRIA BANK S.A.,0.1,0.087,0.0,0.087,0.087,0.087,0.087,1000.0,87.0,1,0.103,0.087,2023-01-01
SNN,S.N. NUCLEARELECTRICA S.A.,10.0,46.1,0.0,46.1,46.5,46.0,46.2315,16343.0,755562.65,190,48.0,21.85,2023-01-01
SNG,S.N.G.N. ROMGAZ S.A.,1.0,37.85,-0.13,37.85,38.1,37.8,37.921,30769.0,1166793.9,136,39.0,30.2,2023-01-01
TGN,S.N.T.G.N. TRANSGAZ S.A.,10.0,221.5,-1.34,226.0,226.0,220.0,222.2024,2766.0,614612.0,137,314.0,212.0,2023-01-01
