Symbol,Company_name,Face_value,Close ,Change_%,Open,High,Low,Avg_price,Volume,Turnover,No_of_trades,52_High,52_Min,Date
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.68,-0.23,18.85,18.898,18.65,18.7727,12134,227787.996,149,18.946,13.83,2023-01-01
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.4,0.69,18.25,18.44,18.25,18.327,6348,116339.824,149,18.946,15.428,2023-01-02
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,17.344,0.0,17.45,17.63,17.344,17.3923,3518,61186.4,51,18.946,15.64,2023-01-03
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,17.42,0.81,17.432,17.45,17.3,17.4057,4018,69936.152,47,18.946,15.64,2023-01-04
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,17.6,1.85,17.3,17.6,17.3,17.4493,3260,56885.0,75,18.946,15.64,2023-01-05
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.37,1.31,18.1,18.374,18.094,18.1605,7381,134043.384,127,18.946,15.64,2023-01-06
STK,STK EMERGENT,200,63.0,-3.08,60.5,63.0,60.0,61.3389,118,7238.0,8,66.5,54.0,2023-01-06
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.36,0.92,18.374,18.374,18.074,18.1915,9986,181660.874,124,18.946,15.64,2023-01-07
STK,STK EMERGENT,200,64.0,1.59,64.0,64.0,64.0,64.0,1,64.0,1,66.5,54.0,2023-01-07
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.242,0.36,18.36,18.374,18.2,18.3455,4050,74299.552,81,18.946,15.64,2023-01-08
STK,STK EMERGENT,200,60.0,-6.25,60.0,60.0,60.0,62.4961,35230,2201740.0,6,66.5,54.0,2023-01-08
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.348,0.77,18.37,18.37,18.2,18.3121,8538,156348.918,152,18.946,15.64,2023-01-09
