indices,value,var,var_percentage,high,low,date
BET LEI,13396.47,-50.17,-0.37,13570.38,13368.82,2023-01-01
BET-TR LEI,23857.69,-88.78,-0.37,24167.27,23809.48,2023-01-01
BETPlus LEI,1997.06,-7.17,-0.36,2022.12,1992.99,2023-01-01
BET-FI LEI,52206.19,-29.4,-0.06,52492.54,51977.6,2023-01-01
ROTX LEI,28804.13,-53.81,-0.19,29165.03,28730.19,2023-01-01
BET-XT LEI,1165.82,-4.45,-0.38,1180.02,1163.68,2023-01-01
BET-XT-TR LEI,2072.45,-7.87,-0.38,2097.69,2068.7,2023-01-01
BET-NG LEI,868.89,-6.31,-0.72,882.81,868.41,2023-01-01
BET-BK LEI,2563.67,-15.33,-0.59,2589.9,2560.82,2023-01-01
BET-TRN LEI,23849.93,-88.78,-0.37,24159.41,23801.68,2023-01-01
BET-XT-TRN LEI,2071.95,-7.87,-0.38,2097.19,2068.2,2023-01-01
BET USD,2289.18,-14.56,-0.63,0.0,0.0,2023-01-01
BET-TR USD,18649.7,-118.2,-0.63,0.0,0.0,2023-01-01
BETPlus USD,1463.98,-9.09,-0.62,0.0,0.0,2023-01-01
BET-FI USD,29430.78,-93.34,-0.32,0.0,0.0,2023-01-01
BET-XT USD,682.46,-4.39,-0.64,0.0,0.0,2023-01-01
BET-XT-TR USD,1580.17,-10.14,-0.64,0.0,0.0,2023-01-01
BET-NG USD,508.78,-5.03,-0.98,0.0,0.0,2023-01-01
BET-BK USD,1677.96,-14.43,-0.85,0.0,0.0,2023-01-01
BET-TRN USD,18643.63,-118.18,-0.63,0.0,0.0,2023-01-01
BET-XT-TRN USD,1579.8,-10.13,-0.64,0.0,0.0,2023-01-01
BET EUR,9430.85,-34.36,-0.36,0.0,0.0,2023-01-01
BET-TR EUR,21701.43,-78.55,-0.36,0.0,0.0,2023-01-01
BETPlus EUR,1774.61,-6.19,-0.35,0.0,0.0,2023-01-01
BET-FI EUR,22890.51,-10.58,-0.05,0.0,0.0,2023-01-01
BET-XT EUR,815.26,-3.03,-0.37,0.0,0.0,2023-01-01
BET-XT-TR EUR,1859.55,-6.87,-0.37,0.0,0.0,2023-01-01
