Symbol,Inst_name,Close,Change_%,Open,High,Low,Avg_price,Volumne,Turnover,Trades,52_High,52_min,Date
EBADSTL7,ADIDAS TURBO LONG 0.10/215/225,10.7,-18.13,10.7,10.7,10.7,10.7,40,428.0,1,49.25,6.5,2023-01-01
BKSLVTL1,BRK Argint Turbo Long 19.5,0.62,-12.68,0.68,0.68,0.59,0.6,297586,178726.35,23,1.99,0.47,2023-01-01
BKAURTL11,BRK Aur Turbo Long 1620,1.39,-9.15,1.53,1.53,1.39,1.45,14070,20398.6,10,2.45,0.65,2023-01-01
BKAURTL13,BRK Aur Turbo Long 1675,4.97,-12.5,5.46,5.49,4.97,5.38,759,4081.96,8,10.47,2.58,2023-01-01
BKAURTS13,BRK Aur Turbo Short 1880,0.83,7.79,0.83,0.83,0.83,0.83,200,166.0,1,1.38,0.27,2023-01-01
BKAURTS10,BRK Aur Turbo Short 1980,9.0,9.49,8.48,9.0,8.48,8.61,40,344.4,2,13.22,3.89,2023-01-01
BKCUPTL2,BRK Cupru Turbo Long 3.95,2.71,1.88,2.58,2.71,2.53,2.57,901,2317.53,3,4.29,0.97,2023-01-01
BKDOWTLB3,BRK Dow Turbo Long 29350,2.73,2.63,2.73,2.73,2.73,2.73,10,27.3,1,3.27,0.79,2023-01-01
BKDOWTLB4,BRK Dow Turbo Long 29850,25.22,2.77,25.17,25.22,24.78,24.94,300,7481.4,6,29.12,11.03,2023-01-01
BKDOWTLB8,BRK Dow Turbo Long 31350,1.9,2.15,1.9,1.9,1.9,1.9,100,190.0,1,2.25,0.93,2023-01-01
BKDOWTLB9,BRK Dow Turbo Long 31900,16.04,-0.8,16.8,16.9,15.7,16.55,51572,853325.43,63,22.37,6.9,2023-01-01
BKDOWTLC1,BRK Dow Turbo Long 32500,1.36,-0.73,1.44,1.44,1.31,1.39,40828,56679.75,34,1.98,0.46,2023-01-01
BKDOWTLC3,BRK Dow Turbo Long 32950,11.4,-12.31,12.99,12.99,11.4,11.6,20301,235563.99,4,17.83,4.68,2023-01-01
BKDOWTSC4,BRK Dow Turbo Short 37250,0.8,3.9,0.71,0.81,0.7,0.75,262984,197364.28,48,1.76,0.16,2023-01-01
BKDOWTSC7,BRK Dow Turbo Short 37550,9.6,0.84,8.88,10.07,8.76,9.16,72595,665061.43,61,17.41,3.4,2023-01-01
BKDOWTSC9,BRK Dow Turbo Short 38050,1.22,-3.17,1.22,1.22,1.22,1.22,200,244.0,1,1.91,0.64,2023-01-01
BKDOWTSC8,BRK Dow Turbo Short 38750,15.72,1.03,14.91,16.15,14.77,15.46,4916,76025.53,47,23.24,9.33,2023-01-01
BKDOWTSD2,BRK Dow Turbo Short 39250,1.8,-4.26,1.8,1.8,1.8,1.8,2500,4500.0,1,2.52,1.8,2023-01-01
BKDOWTSD1,BRK Dow Turbo Short 39850,21.69,1.69,20.66,21.69,20.66,21.52,120,2582.2,2,27.3,21.69,2023-01-01
BKWTITL4,BRK WTI Turbo Long 38.5,21.28,-2.34,21.28,21.28,21.28,21.28,20,425.6,1,21.95,7.44,2023-01-01
BKWTITL11,BRK WTI Turbo Long 58,2.72,-3.2,2.72,2.72,2.72,2.72,42,114.24,1,2.82,0.84,2023-01-01
BKWTITL14,BRK WTI Turbo Long 71.5,7.95,0.38,7.47,7.95,7.47,7.71,260,2004.6,2,7.95,7.95,2023-01-01
BKWTITL15,BRK WTI Turbo Long 79.5,4.45,0.91,3.99,4.45,3.99,4.22,500,2110.0,2,4.45,4.45,2023-01-01
BKWTITS19,BRK WTI Turbo Short 91.5,2.16,-1.37,2.45,2.53,2.16,2.35,2500,5875.0,3,2.21,2.16,2023-01-01
EBDAXTL79,"DAX INDEX TURBO LONG 0.01/11,400/11,900",181.2,-4.13,181.2,181.2,181.2,181.2,20,3624.0,1,223.0,100.0,2023-01-01
EBDAXTL82,"DAX INDEX TURBO LONG 0.01/13,800/ 14,300",71.8,-15.73,77.5,77.5,71.8,75.7,275,20809.0,7,118.9,57.1,2023-01-01
EBDAXTS72,"DAX INDEX TURBO SHORT 0.01/18,000/17,500",101.0,9.66,95.0,101.0,94.6,96.7,234,22617.7,8,171.0,62.9,2023-01-01
EBDAXTL83,"DAX TURBO LONG 0.01/14,300/14,800",50.6,-17.72,57.8,58.2,50.0,53.7,9622,517113.0,73,97.0,36.9,2023-01-01
EBDAXTS74,"DAX TURBO SHORT 0.01/17,000/16,500",70.7,16.86,64.0,70.7,63.0,64.5,1917,123657.6,16,88.4,32.4,2023-01-01
EBDBKTL29,DEUTSCHE BANK TURBO LONG 0.10/7/7.5,2.79,10.28,2.81,2.81,2.79,2.79,520,1451.2,2,2.79,0.78,2023-01-01
EBDBKTL31,DEUTSCHE BANK TURBO LONG 0.10/9.2/9.7,2.0,18.34,1.77,2.0,1.73,1.73,20300,35177.0,3,2.0,0.46,2023-01-01
EBDOWTS17,"E-mini Dow Jones TURBO SHORT 0.01/41,000/40,000",179.0,-2.03,173.6,179.0,173.6,175.9,122,21464.2,4,285.6,124.7,2023-01-01
EBSPTL43,"E-mini S&P 500 TURBO LONG 0.01/ 2,000/2,100",109.24,-1.32,109.24,109.24,109.24,109.24,5,546.2,1,120.28,71.36,2023-01-01
EBSPTL48,"E-mini S&P 500 TURBO LONG 0.01/ 3,350/3,450",48.22,-3.56,48.5,48.5,48.22,48.44,40,1937.2,2,60.82,15.0,2023-01-01
EBSPTS48,"E-mini S&P 500 TURBO SHORT 0.010/5,100/5,000",18.9,5.59,19.34,19.62,18.9,19.1,700,13366.0,6,36.38,7.56,2023-01-01
EBDBKTS14,"EB DBK TURBO SHORT 0,1/16,50/15,60",0.49,-37.18,0.71,0.71,0.49,0.63,78400,49441.85,20,2.62,0.49,2023-01-01
EBDBKTS10,"EB DBK TURBO SHORT 0,10/21,72/20,72",1.5,-18.92,1.72,1.72,1.5,1.61,9889,15893.62,5,4.05,1.5,2023-01-01
EBGLD1,EB GOLD open end,252.6,-0.94,255.2,256.0,251.4,253.0,238,60205.6,7,263.0,223.0,2023-01-01
EBWTITS16,"EB WTI LIGHT SWEET TURBO SHORT 0,10/125,13/122,63",14.6,1.53,14.6,14.6,14.6,14.6,10,146.0,1,28.16,14.38,2023-01-01
EBWTITS21,EB WTI TURBO SHORT 0.10/86.25/83.75,4.14,2.48,4.32,4.62,4.0,4.38,9304,40699.04,36,18.24,3.82,2023-01-01
EBEBSTL45,ERSTE GROUP TURBO LONG 0.10/33.50/34,5.03,11.78,5.01,5.03,5.01,5.03,10000,50260.0,2,5.85,2.3,2023-01-01
EBEUSDTL21,EUR/USD TURBO LONG 10/0.995/1,4.12,11.05,3.81,4.12,3.81,3.97,300,1189.5,2,8.33,3.42,2023-01-01
EBEUSDTS24,EUR/USD TURBO SHORT 10/1.305/1.3,6.23,7.04,6.23,6.23,6.23,6.23,200,1246.0,1,6.33,2.55,2023-01-01
EBFPTL21,FOND PROPRIETATE TURBO LONG 10/0.87/0.90,13.61,-1.87,13.61,13.61,13.61,13.61,17,231.37,1,13.89,6.81,2023-01-01
EBFPTL24,FOND PROPRIETATE TURBO LONG 10/1.08/1.13,11.49,-4.73,11.49,11.49,11.49,11.49,4628,53175.72,1,12.06,4.72,2023-01-01
EBFPTL25,FOND PROPRIETATE TURBO LONG 10/1.4/1.45,7.52,-4.2,7.52,7.52,7.52,7.52,865,6504.8,1,7.85,3.53,2023-01-01
EBGLDTL36,"GOLD Future TURBO LONG 0.10/ 1,450/ 1,500",85.0,-8.09,85.46,85.46,85.0,85.39,401,34243.0,3,142.86,42.0,2023-01-01
EBGLDTL34,"GOLD Future TURBO LONG 0.10/1,300/1,350",133.18,1.43,133.18,133.18,133.18,133.18,100,13318.0,1,186.0,100.67,2023-01-01
EBSNPTL12,OMV PETROM TURBO LONG 10/0.27/0.29,2.56,7.56,2.41,2.56,2.37,2.38,641,1523.36,3,2.58,0.97,2023-01-01
EBSLVTL36,SILVER Future TURBO LONG 1/ 12.2/ 12.7,38.74,-3.15,38.74,38.74,38.74,38.74,500,19370.0,1,62.36,37.62,2023-01-01
