info,value_mil_ron,value_mil_usd,value_mil_eur,volume,trades,date
Market Cap,242823.15,55382.17,49097.83,0,0,2023-01-01
Cap Excluding SIF and FP,224340.05,51166.62,45360.63,0,0,2023-01-01
Cap SIF and FP,18483.1,4215.55,3737.21,0,0,2023-01-01
Total trading equites Shares,45335453.23,10339936.87,9166640.36,45482075,4848,2023-01-01
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-01
Total trading Bonds,6327776.32,1443215.03,1279450.09,17714,111,2023-01-01
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-01
Total trading Units,227788.0,51953.02,46057.79,12134,149,2023-01-01
Total trading Structured,3845631.46,877096.92,777570.71,1140197,651,2023-01-01
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-01
Total trading,55736649.01,12712201.84,11269718.94,46652120,5759,2023-01-01
Market Cap,214611.15,46869.59,43429.49,0,0,2023-01-02
Cap Excluding SIF and FP,196106.38,42828.27,39684.79,0,0,2023-01-02
Cap SIF and FP,18504.77,4041.31,3744.69,0,0,2023-01-02
Total trading equites Shares,21838353.12,4769344.84,4419287.9,14887718,4457,2023-01-02
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-02
Total trading Bonds,901828.54,196953.1,182497.28,9041,37,2023-01-02
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-02
Total trading Units,116339.82,25407.81,23542.95,6348,149,2023-01-02
Total trading Structured,779304.65,170194.73,157702.9,227620,239,2023-01-02
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-02
Total trading,23635826.13,5161900.48,4783031.02,15130727,4882,2023-01-02
Market Cap,196118.65,40923.7,39712.19,0,0,2023-01-03
Cap Excluding SIF and FP,179338.98,37422.32,36314.46,0,0,2023-01-03
Cap SIF and FP,16779.67,3501.38,3397.73,0,0,2023-01-03
Total trading equites Shares,17661511.2,3685393.48,3576290.61,7866999,2395,2023-01-03
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-03
Total trading Bonds,1312952.18,273971.2,265860.52,9884,103,2023-01-03
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-03
Total trading Units,61186.4,12767.65,12389.67,3518,51,2023-01-03
Total trading Structured,766591.93,159963.26,155227.68,661068,333,2023-01-03
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-03
Total trading,19802241.71,4132095.59,4009768.49,8541469,2882,2023-01-03
Market Cap,196808.26,41529.49,39913.25,0,0,2023-01-04
Cap Excluding SIF and FP,179858.63,37952.87,36475.82,0,0,2023-01-04
Cap SIF and FP,16949.63,3576.63,3437.43,0,0,2023-01-04
Total trading equites Shares,30198306.63,6372295.13,6124299.14,18533390,2793,2023-01-04
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-04
Total trading Bonds,795402.25,167841.79,161309.75,7197,115,2023-01-04
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-04
Total trading Units,69936.15,14757.58,14183.24,4018,47,2023-01-04
